match_id,season,team1,team2,venue,city,toss_winner,toss_decision,team1_matches_played,team1_wins,team1_win_rate,team1_toss_win_rate,team2_matches_played,team2_wins,team2_win_rate,team2_toss_win_rate,h2h_matches_played,h2h_team1_win_rate,is_team1_toss_winner,team1_win
336010,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,13,6,0.46153846153846156,0.46153846153846156,14,4,0.2857142857142857,0.35714285714285715,32,0.5625,1,1
336011,2008,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,16,13,0.8125,0.6875,14,2,0.14285714285714285,0.6428571428571429,9,0.7777777777777778,1,1
336013,2008,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai,Kings XI Punjab,field,16,9,0.5625,0.3125,15,10,0.6666666666666666,0.5333333333333333,23,0.6086956521739131,0,1
336014,2008,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kolkata Knight Riders,bat,14,2,0.14285714285714285,0.6428571428571429,13,6,0.46153846153846156,0.46153846153846156,9,0.2222222222222222,0,0
336015,2008,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,16,13,0.8125,0.6875,14,7,0.5,0.42857142857142855,18,0.6111111111111112,1,1
336016,2008,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Royal Challengers Bangalore,bat,15,10,0.6666666666666666,0.5333333333333333,14,4,0.2857142857142857,0.35714285714285715,26,0.5384615384615384,0,1
336017,2008,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,13,6,0.46153846153846156,0.46153846153846156,14,7,0.5,0.42857142857142855,21,0.6190476190476191,1,1
336018,2008,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai,Mumbai Indians,field,14,7,0.5,0.5714285714285714,16,9,0.5625,0.3125,37,0.5405405405405406,1,1
336020,2008,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Delhi,Deccan Chargers,field,14,7,0.5,0.42857142857142855,14,2,0.14285714285714285,0.6428571428571429,11,0.6363636363636364,0,1
336021,2008,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,Mumbai Indians,field,14,7,0.5,0.5714285714285714,13,6,0.46153846153846156,0.46153846153846156,34,0.6764705882352942,1,1
336023,2008,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,field,16,13,0.8125,0.6875,14,4,0.2857142857142857,0.35714285714285715,29,0.41379310344827586,0,1
336022,2008,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,14,7,0.5,0.42857142857142855,15,10,0.6666666666666666,0.5333333333333333,22,0.4090909090909091,1,0
336025,2008,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,13,6,0.46153846153846156,0.46153846153846156,16,9,0.5625,0.3125,29,0.3448275862068966,1,0
336026,2008,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Bangalore,Delhi Daredevils,field,14,4,0.2857142857142857,0.35714285714285715,14,7,0.5,0.42857142857142855,21,0.6190476190476191,0,0
336027,2008,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,Rajasthan Royals,field,13,6,0.46153846153846156,0.46153846153846156,16,13,0.8125,0.6875,28,0.5,0,0
336028,2008,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai,Mumbai Indians,field,14,7,0.5,0.5714285714285714,15,10,0.6666666666666666,0.5333333333333333,26,0.5384615384615384,1,0
336029,2008,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Royal Challengers Bangalore,bat,16,9,0.5625,0.3125,14,4,0.2857142857142857,0.35714285714285715,30,0.6666666666666666,0,0
336031,2008,Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,15,10,0.6666666666666666,0.5333333333333333,14,2,0.14285714285714285,0.6428571428571429,10,0.7,1,1
336032,2008,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,14,7,0.5,0.42857142857142855,14,7,0.5,0.5714285714285714,22,0.5,1,1
336033,2008,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,Rajasthan Royals,bat,16,9,0.5625,0.3125,16,13,0.8125,0.6875,29,0.5517241379310345,0,0
336002,2008,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,14,2,0.14285714285714285,0.6428571428571429,14,4,0.2857142857142857,0.35714285714285715,11,0.5454545454545454,1,0
336035,2008,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata,Kings XI Punjab,bat,13,6,0.46153846153846156,0.46153846153846156,15,10,0.6666666666666666,0.5333333333333333,27,0.6666666666666666,0,1
336036,2008,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,16,13,0.8125,0.6875,14,7,0.5,0.5714285714285714,29,0.4827586206896552,1,1
336037,2008,Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,14,2,0.14285714285714285,0.6428571428571429,16,9,0.5625,0.3125,10,0.4,1,0
