season,team,matches_played,wins,toss_wins,home_matches,away_matches,win_rate,toss_win_rate
2017,Kings XI Punjab,14,7,4,7,7,0.5,0.2857142857142857
2017,Delhi Daredevils,14,6,8,7,7,0.42857142857142855,0.5714285714285714
2017,Kolkata Knight Riders,16,9,9,7,9,0.5625,0.5625
2017,Mumbai Indians,17,11,11,10,7,0.6470588235294118,0.6470588235294118
2017,Sunrisers Hyderabad,14,8,5,8,6,0.5714285714285714,0.35714285714285715
2017,Gujarat Lions,14,4,7,7,7,0.2857142857142857,0.5
2017,Rising Pune Supergiant,16,10,6,7,9,0.625,0.375
2019,Royal Challengers Bangalore,14,5,4,9,5,0.35714285714285715,0.2857142857142857
2019,Kings XI Punjab,14,6,6,7,7,0.42857142857142855,0.42857142857142855
2019,Kolkata Knight Riders,14,6,5,9,5,0.42857142857142855,0.35714285714285715
2019,Mumbai Indians,16,10,8,10,6,0.625,0.5
2019,Rajasthan Royals,14,5,11,5,9,0.35714285714285715,0.7857142857142857
2019,Chennai Super Kings,17,10,12,6,11,0.5882352941176471,0.7058823529411765
2019,Sunrisers Hyderabad,15,6,4,8,7,0.4,0.26666666666666666
2019,Delhi Capitals,16,9,10,6,10,0.5625,0.625
2018,Royal Challengers Bangalore,14,6,7,6,8,0.42857142857142855,0.5
2018,Kings XI Punjab,14,6,7,7,7,0.42857142857142855,0.5
2018,Delhi Daredevils,14,5,8,9,5,0.35714285714285715,0.5714285714285714
2018,Kolkata Knight Riders,16,9,9,6,10,0.5625,0.5625
2018,Mumbai Indians,14,6,5,9,5,0.42857142857142855,0.35714285714285715
2018,Rajasthan Royals,15,7,6,8,7,0.4666666666666667,0.4
2018,Chennai Super Kings,16,11,11,6,10,0.6875,0.6875
2018,Sunrisers Hyderabad,17,10,7,9,8,0.5882352941176471,0.4117647058823529
2020,Royal Challengers Bangalore,15,6,6,10,5,0.4,0.4
2020,Kings XI Punjab,14,5,4,6,8,0.35714285714285715,0.2857142857142857
2020,Kolkata Knight Riders,14,6,6,10,4,0.42857142857142855,0.42857142857142855
2020,Mumbai Indians,16,11,8,9,7,0.6875,0.5
2020,Rajasthan Royals,14,6,7,4,10,0.42857142857142855,0.5
2020,Chennai Super Kings,14,6,8,4,10,0.42857142857142855,0.5714285714285714
2020,Sunrisers Hyderabad,16,8,11,6,10,0.5,0.6875
2020,Delhi Capitals,17,8,10,11,6,0.47058823529411764,0.5882352941176471
2021,Royal Challengers Bangalore,15,9,10,8,7,0.6,0.6666666666666666
2021,Kolkata Knight Riders,17,9,8,6,11,0.5294117647058824,0.47058823529411764
2021,Mumbai Indians,14,7,8,8,6,0.5,0.5714285714285714
2021,Rajasthan Royals,14,5,8,7,7,0.35714285714285715,0.5714285714285714
2021,Chennai Super Kings,16,11,6,10,6,0.6875,0.375
2021,Sunrisers Hyderabad,14,3,7,5,9,0.21428571428571427,0.5
2021,Delhi Capitals,16,9,8,7,9,0.5625,0.5
2021,Punjab Kings,14,6,5,9,5,0.42857142857142855,0.35714285714285715
2022,Royal Challengers Bangalore,16,9,8,9,7,0.5625,0.5
2022,Kolkata Knight Riders,14,6,8,5,9,0.42857142857142855,0.5714285714285714
2022,Mumbai Indians,14,4,9,5,9,0.2857142857142857,0.6428571428571429
2022,Rajasthan Royals,17,10,4,13,4,0.5882352941176471,0.23529411764705882
2022,Chennai Super Kings,14,4,6,10,4,0.2857142857142857,0.42857142857142855
2022,Sunrisers Hyderabad,14,6,10,3,11,0.42857142857142855,0.7142857142857143
2022,Delhi Capitals,14,7,8,5,9,0.5,0.5714285714285714
2022,Punjab Kings,14,7,4,9,5,0.5,0.2857142857142857
2022,Gujarat Titans,16,12,10,7,9,0.75,0.625
